Quote,Sentiment,Polarity
“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Neutral,0.0
"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",Positive,0.3
“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Positive,0.0037878787878787845
"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Negative,-0.04999999999999999
"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Negative,-0.27777777777777773
“Try not to become a man of success. Rather become a man of value.”,Positive,0.3
“It is better to be hated for what you are than to be loved for what you are not.”,Positive,0.09999999999999998
"“I have not failed. I've just found 10,000 ways that won't work.”",Positive,0.25
“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,Positive,0.3416666666666667
"“A day without sunshine is like, you know, night.”",Neutral,0.0
